station_id,date,spi1,spei1,spi3,spei3,spi6,spei6,spi9,spei9,spi12,spei12,spi15,spei15,spi18,spei18,spi21,spei21,spi24,spei24
40709,9/30/2006 0:00,0.577097373,0.585325132,,,,,,,,,,,,,,,,
40709,10/31/2006 0:00,0.181880189,0.223313524,,,,,,,,,,,,,,,,
40709,11/30/2006 0:00,-0.404769619,-0.518566169,0.021855421,0.051675382,,,,,,,,,,,,,,
40709,12/31/2006 0:00,-0.302712416,-0.37651961,0.104362752,-0.004687725,,,,,,,,,,,,,,
40709,1/31/2007 0:00,-1.251349157,-1.597866681,-1.009109407,-1.316149274,,,,,,,,,,,,,,
40709,2/28/2007 0:00,1.521747616,1.324750399,0.205366858,0.044264221,0.094894508,0.056367613,,,,,,,,,,,,
40709,3/31/2007 0:00,0.594158483,0.714380073,0.52051099,0.490687194,0.096908589,0.149959266,,,,,,,,,,,,
40709,4/30/2007 0:00,1.319558351,1.125173429,1.328484475,1.361261045,0.564487178,0.611810911,,,,,,,,,,,,
40709,5/31/2007 0:00,-6.892032618,-2.010681134,0.734825783,0.824507894,0.538196785,0.605809518,0.318247428,0.317331579,,,,,,,,,,
40709,6/30/2007 0:00,0.541095972,0.350895482,0.864762872,0.797430559,0.780793894,0.864541049,0.290185664,0.368315021,,,,,,,,,,
40709,7/31/2007 0:00,0.758324671,0.501490893,-0.610640778,-0.285755101,0.974752448,1.230876034,0.33217639,0.38820786,,,,,,,,,,
40709,8/31/2007 0:00,-0.673539349,-0.901939094,-1.062610187,-0.779703968,0.562628724,0.370645139,0.238379481,0.341716893,0.043845416,0.147555382,,,,,,,,
40709,9/30/2007 0:00,-1.67980113,-1.606349136,-1.935245259,-1.664828179,-1.09637411,-0.90280718,-0.543945504,-0.450777748,-0.616100684,-0.547984293,,,,,,,,
40709,10/31/2007 0:00,-1.315318187,-1.403688696,-2.574137907,-2.391916572,-2.404572509,-2.211062122,-1.365547433,-1.21969758,-4.795443812,-1.910526949,,,,,,,,
